target
FANCA
TRNV
DMAC2L
ULK4P2
OR2L2
HSD17B14
SPRR1A
RPL21P28
HOXC10
PRIMA1
MRPL9
MIR1-1HG
DMRTC2
RALA
SIRPB2
GBP7
CMTM7
SMIM18
MIR4302
MIR1255A
PPHLN1
WRAP53
CEP63
FST
RGS13
KIR3DL1
PUS10
FGD4
EIF4A2P4
PROB1
NUDT12
MIR548I3
HID1
ARL6IP6
CTSF
ICA1
ZNF568
ZFYVE19
ITGA7
TGFB1
CLRN3
TMEM39A
ZNF416
NUDT21
APOBEC3B-AS1
GCLM
RBM22
COPS8
VIM-AS1
OR13C8
OSTM1
HCG17
GPIHBP1
HECW1
ABCC1
CTSK
PTPN21
XRN1
OR5M1
GOT2
MIR3685
LDHAL6B
AGO1
SNORD23
SH2D6
GDAP1L1
EGFR
POLK
CSPG4
MIR202
GDPD2
SIK3-IT1
GPBP1
PARP6
IP6K2
TSR1
NIPAL3
SAP25
mrcA
POLR2J2
MRPL38
alsB
DOCK8
PLLP
MIR378A
ZKSCAN1
PMS2P1
OR10V1
SMG1P4
CSTPP1
PPBPP1
DUOXA2
IL23A
BLOC1S6
IL17RE
RPS6P1
LINC00572
MKRN2OS
LYAR
MIR6073
RPL13AP3
ORC4
SPDYE1
HS3ST4
SNORD26
ST14
nlpI
C10orf105
CCNE1
CHD1L
RLIM
SETD6
EPYC
ZNF204P
MYL1
DPM1
VDAC2
EPN1
PIGO
TRIM53AP
NUP42
FGFBP1
LRP1
MIR1275
VWA8
CACNB4
NANS
CMTM6
ABHD16A
MIR188
ARHGAP18
LUC7L
HNRNPA1P51
SDF4
RRS1
CD3D
DOCK2
SNORD114-14
NOD1
PRKAA2
DLGAP1-AS4
PEBP1
TAS2R43
GGT8P
PRAMEF1
SLC46A2
TRIP10
ERO1B
CSTF1
BCS1L
PLK5
EHHADH
DTD2
HIGD2B
GNB1L
S100A10
TRIM8
RPSAP3
MIR569
REPS1
EOLA1-DT
PDIA5
C12orf75
NOSTRIN
MIR186
FBXO22
OR4C15
CYP27B1
RPL27AP6
KCNJ12
BHLHA9
DNAJC3
TENT2
ZNF165
POLG2
MDGA2
KCNK4
FGD3
STARD7-AS1
TAS2R20
PSMB10
IFNA10
RBMY2EP
PPP1R26-AS1
SLC2A6
FCMR
MIR601
LDHB
HMGCLL1
RBP7
LINC01588
FUT8
G3BP2
CMC4
MIR3692
VCX2
PIM1
FHAD1
RNF144A
HBA1
GDF5-AS1
ILKAP
ETFRF1
LINC02538
ELP6
CTRL
MIR139
GOSR1
ZNF695
HUWE1
H2BW4P
CCDC90B
RFLNB
PRIM2
SNORA28
SMNDC1
ARNT
FAM107A
PXK
MIR548T
CIBAR1P2
GART
ESRRB
CLC
DCLRE1A
FAM66D
TMEM132B
FAS
FERMT1
COL6A6
AKAP5
VIPAS39
ATF6B
HNF1A
COMMD5
NOMO2
MS4A12
ZNF676
PAQR6
B4GALNT4
VMO1
HHLA2
SYTL2
ARAP3
ACSM6
AIPL1
TPMT
GPRASP1
DDX60
SALL1
PLSCR5
PAEP
PLD3
RNA5-8SN3
SLC25A15
PCDHGB5
SNX27
KCNH4
RRP1B
IL13RA1
IFNL1
ZNF559
CEACAM16
IPO7P2
TEAD3
DTX1
STOML1
EVI5L
THEM4
C11orf58
NIF3L1
CIMAP1B
ANO5
PSMB1
MIR29B1
ARIH2
ALPK1
BLVRA
TAFA4
ATP6V1F
ARHGEF17
FGF22
LINC01237
EID3
EXD3
TMPRSS7
ZNF106
PCDH10
SNRNP35
MIR106A
SUSD2
SLC16A4
OR9K2
MIR125B2
LERFS
SLC39A1
CAPN5
PLP1
EMX2OS
SPRR3
MRPL11
moaE
ZNF19
HOXD9
TRMT2B
OSMR-DT
LSP1P5
HDDC2
AUP1
SPICE1
KLK4
EMD
PEPD
CPEB2
MICAL3
TMPRSS12
SPRR2A
CCRL2
ANKIB1
HSPB1P1
PRKCSH
HFM1
CENPVL2
KCNN1
ZNF417
ARHGAP45
TTC34
CUX2
RORA
SHC1P1
AKT3
GCNA
ZAN
TSNAXIP1
PURG
TMIE
TRIM59
MT-CO2
OR4F5
CYB5D1
CBY1
PIAS1
CBX2
DOCK6
METTL1
pknB
H3-3A
NOXA1
RDUR
HTR3A
EML6
IFIT1B
AMZ1
DNAAF2
ZUP1
PDE1A
SLC6A18
PTPN9
LHX3
ADGRF1
PRRG4
ZNF433-AS1
RAB24
RHOH
PAK3
UNC5C
CEP78
SNORD115-28
MIR532
RGSL1
FNDC8
FRG1JP
RPL3L
CAMSAP2
TBC1D1
KBTBD11
TGFBR1
TMEM71
CCDC158
H2BC14
SUPV3L1
TLR7
USP35
MIR4257
KDM7A
SMYD3
ZNF548
ADAMDEC1
DDRGK1
CARD6
KCNRG
HERC2P4
MIR4638
CSE1L
RPL36
KIF20A
ALDH4A1
HLA-DRB1
AADACL2
APOBEC3A
AKAP14
CCDC86
FN3KRP
ZNF627
TMEM129
MAP3K1
BAZ2B
GLMN
LINC00092
fecA
PXT1
PARVA
LINC00662
ETS1
KCNQ2
WEE1
ACTG2
RNF217
ZDHHC9
SNORD9
OR2T6
DIRC3
GAS6
CILK1
MIR92A1
TMSB10P1
H2AB3
ISCA1
TINF2
KLC4
STOM
Lyar
MIR1185-1
DLX3
IFITM10
NHLRC1
GFRA2
RIC3
BEND4
NFIA-AS2
MOV10L1
EDC4
PFN2
KLHL32
TMEM61
PDE4B
HMGN2P46
C17orf75
INTS4P2
PRKRA
ADM2
WASIR2
MTHFD2
GLRA3
SYNJ2BP
TIGD6
MBNL1-AS1
MIR377
ERCC1
TRRAP
HTR4
HDGFL1
KIAA0319
ERH
KIF2B
GTF2IRD1
H2AC7
CSNK1G2
SYTL5
FAM76B
CUL2
FGF12
MSS51
TAC4
TIMM9
CHM
MAMDC2
TAS2R7
SILC1
CHST11
FAM91A1
TRPC3
ZNF354C
METTL15
EBF4
SNX15
FAM229A
KCTD17
ANKRD40CL
RAMP1
GATA6
FREM1
KLF2
CRYBG2
DMBX1
TP63
NCR3
AP3S1
DENND10P1
TCEANC2
LINC01532
TSPYL4
GLP1R
MYL6
NFKBIZ
BPIFC
SPATA6L
DUX3
RP2
THRIL
OLIG2
ZBTB14
ACTL7A
TTTY14
GLUD2
B4GAT1
METAP2
SLC16A1-AS1
NTSR1
SERPINE3
MMP27
XYLB
AFMID
KCNJ8
SF3B6
IMMT
HMGA1P2
NAT8B
NFIA
AMY2A
TSPY26P
TRIM47
RP9
GSTTP2
DEGS1
MAP3K10
SLC38A7
PECAM1
LL22NC03-63E9.3
CRHBP
CXCR4
RPS26P53
PKLR
ACAP2
POU4F3
LCN2
SNORA25
MAP3K2
EEF1AKMT4-ECE2
ZNRD2
KRTAP19-7
IGIP
POU4F1
RPL15P17
SERPINB1
SDHA
putA
CRYM
HACD1
SLC44A3
PSAT1
SEC1P
OR52A5
TSC22D1-AS1
RBBP9
LINC02817
FASTKD1
RGPD5
H2AC20
PRDX1
INHBE
LRR1
KIF6
TSPAN32
HLA-G
RPA1
ESRRA
ZNF302
ERRFI1
SEC24D
MYBPC2
ZNF792
MIR638
SPATA7
ZNHIT3
FTH1P8
MIR495
PPP1R35-AS1
CYGB
PSMD3
MIR320D2
SNORD114-6
GRM1
YIPF7
SWT1
ZIC4
OCM
MIR637
CPD
P3H2
UGT2B28
SNORA33
NAT10
POLR2L
GPR63
ADPRHL1
AMER2
ACTG1P20
EEF1A1P5
RPS3
LINC01317
ALG1L2
HAUS6
SPRR2F
LALBA
MIR346
HS3ST5
ARHGEF4
DHRS2
ZG16
ZNF124
SNAR-H
LINC02025
EOLA2
OR4F21
NR2F2
LINC00665
ZNF283
SLFN12
SLCO1A2
PHF10
FAM72C
KCNH5
C17orf100
LINC00606
HOXC12
LRRC26
PKD1P1
H2BC10
RRP12
LAPTM4A
LINC02693
SNORD124
H2AC16
SLBP
ATAD2B
KRI1
EGOT
LAMTOR4
FTX
LINC02200
CCNJL
LRIF1
SLC6A12
STK32A
CAVIN4
ACE2
POR
TRAF3IP1
ATXN7L3
GNRH1
BRAP
TMED6
PAGE2B
ZNF114-AS1
MEGF11
MAU2
MYPOP
EEF1E1-BLOC1S5
MEP1B
ybiV
MYO1C
GTPBP8
ANGPTL3
ANGPTL1
OR6A2
UBE2L1
TNIP1
GIMAP5
MPLKIP
CCSAP
UBL7
BPNT2
TAPBPL
TNIP2
PKDCC
GIP
NLRP10
TPI1P2
RAB32
EYS
VWA5A
PLPPR5
C1orf216
METTL14
RMDN3
KLRB1
FDPSP2
NHLRC2
SMIM15
MIR526B
LINC00240
MAGEA6
NIPAL1
SNRPE
PTDSS1
F2RL2
FAM47E-STBD1
GPANK1
PITX1-AS1
RPL13AP5
LHX6
SUPT3H
SLC38A8
PDGFD
SPX
IL22RA2
LINC02072
CPNE6
MAGEF1
ECSCR
SMARCD2
SUDS3
RNF148
DNMBP
KCTD5
RRP9
SNUPN
UBQLN4
IFNA4
CETN4P
APOO
BCL2
APOA1
CST2
PPEF2
SULT1A1
RBM27
LITAF
STAG3
MFF
SLC38A2
FAM167A-AS1
MRPS17
OTOR
TIMM23B
FLI1
CLEC9A
CCDC150
POU2AF1
RPL23P8
HSD17B10
CNIH4
ITGAV
MIR297
PPP1R14C
RNASE7
ZFP3
ZNF502
IGKV1D-27
SULF1
YME1L1
MFSD5
RAC2
BARD1
STYXL1
ST8SIA5
PCED1B-AS1
UBR3
CEP126
CTSV
IL26
DPY19L2P3
FBP1
GPR132
FKRP
SPMIP4
SNORA51
DYNC1LI1
LINC02910
bioI
FBLN1
ulaG
MPIG6B
DDX42
FKBP4
MIDEAS
OMD
TNFRSF8
KCNH3
ANKRD30A
CD177
GAGE7
RPS7
SEMA4G
ZNF562
ANO10
TGM4
POC1B
ompG
EMCN
RNU7-172P
CD40
ADAT2
PPP1R2B
NPPC
ECH1
HDAC1
FBXO9
SCO1
TAF1D
LINC02245
CLEC4C
CEP162
GMNN
FBXO11
TMEM170A
USP5
RBMXL1
ZCCHC2
GLIPR1
SRP14-DT
ANP32A-IT1
LINC01480
CCNA1
NTN4
NFU1
ZBED10P
ONECUT1
FAF2
KLHDC1
KLK8
RNY5
CAT
ZNF136
GATD3
ACAT2
COL10A1
MIR365B
DNAH8
OSBPL8
PARD6B
IPO11
GPR148
MIR4534
KISS1R
FTH1
ARSD
TMEM163
BLZF1
ADGRG2
SLC9A3
SUN1
FKBP1B
MDN1
EIF2AK1
AIMP1
GBF1
NUP133
CYP7A1
C9orf153
KCNK1
MIR4435-2HG
SPATA31F2P
TNFRSF19
GUCA1B
EIF2A
GAGE8
CEBPG
USP30
CUBN
MRPL19
ZNF185
PSMA2
LAT2
LDLR
CPVL
KLHL41
OR10G2
LETM2
PRDM11
PTH
ATP12A
METTL5
VBP1
BCL2L10
GOLGA2P6
BTBD8
MEGF10
TNFAIP1
MIR758
ANKLE1
DSP
METTL13
ZNF214
MANEAL
RSL24D1
ATG3
GOSR2
LINC01128
SLC30A5
SUMO1P1
GATD1
SERTAD4-AS1
WDFY3-AS2
LNX1-AS2
ZBED5-AS1
C5AR1
MFSD4A
EEIG1
PSMC3
LINC02511
NEK9
PSCA
ZIC5
LINC02188
MIR20B
LINC01176
UBE2Q2P1
ZSCAN29
MIR199B
NWD2
CFAP141
GCFC2
SFRP1
LINC01841
KLC1
UBA5
DERL3
DDX23
MELK
YTHDF3-DT
MIR337
SRCAP
UQCRH
OR5W2
CRB3
rplP
PPFIA1
RPS6KA2
TXK
RBM25
SNORD115-29
NEK8
HPS4
IL11RA
OR1J4
TRIM69
MCTS1
BYSL
ZNF710
CDKN2D
YARS1
SNORD123
LRIG3
MID1
DAO
IGFL3
RPL7P26
OVOL2
OR1C1
EIF4G2
PGRMC1
SCX
CCNL1
MRPS35
GK-AS1
C3orf70
TACC3
MIR92A2
MBTD1
DLEU1
IER5
RPS24
gabT
GNA14-AS1
CYB561
MIR339
MIR503
TMEM19
MBTPS1
DHDH
SSX2
CCM2L
KCNS1
RPGR
RRM2B
MIR4505
BRIX1
SERPINA13P
CLIP1-AS1
SNORD80
RNF10
PDE3B
OSBPL10
TEAD1
ARL15
UTP11
MIR107
sseA
GUSBP4
FAM199X
CDX2
GLRX2
TRE-TTC9-1
PPIC
RPS27
MIR18B
IL23R
WAC
MR1
GGT7
rpoA
LAMC2
RASGRP4
SPAG11B
GAL3ST2
LINC01019
TMEM254-AS1
CLIC5
GOLGA6A
PAX2
SNORD115-12
EFNB2
TARP
TNS2
ACTRT3
ZXDC
MRPL17
LMOD3
BPIFA2
KIR3DS1
FAM27C
TNFAIP8
PRR20B
LMAN1L
TRBV21-1
CCDC112
LINC03042
SPECC1L
ADGRA1
LINC00477
ETFBKMT
HMGB1P37
HSDL1
TGFBR2
MTUS1
MANBAL
LCA5L
FMO3
MAP3K14
