Variable,Split,R²,RMSE,MAE
Metadata_ldh_normalized,0,0.6042379384261996,0.048356761742897,0.03139028639952036
Metadata_ldh_normalized,1,0.5179031371101702,0.05145892911000636,0.0308946923656386
Metadata_ldh_normalized,2,0.563115468951758,0.05034524070798655,0.031395949655213924
Metadata_ldh_normalized,3,0.6570076978622327,0.04413761881250023,0.030284612885998756
Metadata_ldh_normalized,4,0.5849317873515577,0.04512196190789577,0.02956706580504915
Metadata_mtt_normalized,0,0.754758304145472,0.09776794853812765,0.060811930048706615
Metadata_mtt_normalized,1,0.6885915321254217,0.10517976760091056,0.0634888095747091
Metadata_mtt_normalized,2,0.7437175344507325,0.09973143198113373,0.06256569965301313
Metadata_mtt_normalized,3,0.7297693409461039,0.10287228068304527,0.06370126786609548
Metadata_mtt_normalized,4,0.7389332690266328,0.09745545430201576,0.06067806935603585
