Variable,Split,R²,RMSE,MAE
Metadata_ldh_cc_resid,0,0.335058166087964,0.05105565781290084,0.035147153702332214
Metadata_ldh_cc_resid,1,0.2976791782451865,0.052383687424338604,0.03479814841387811
Metadata_ldh_cc_resid,2,0.33367930116265054,0.0495124885408399,0.03486100674978941
Metadata_ldh_cc_resid,3,0.3118291485430106,0.05001876822703868,0.034343554764718995
Metadata_ldh_cc_resid,4,0.27678365148961426,0.047889765034603,0.03311744620197605
Metadata_mtt_cc_resid,0,0.23319227022104527,0.12011995034883167,0.07353777352007884
Metadata_mtt_cc_resid,1,0.20557067622914482,0.12758918868318084,0.07630966683244648
Metadata_mtt_cc_resid,2,0.21787264219244729,0.12172429998192635,0.07502304398058
Metadata_mtt_cc_resid,3,0.21099972554655144,0.1227766602360439,0.07534699985080366
Metadata_mtt_cc_resid,4,0.22489236586797012,0.12048853797326561,0.07482583705007924
