Variable,Split,R²,RMSE,MAE
Metadata_ldh_normalized,0,0.49942411490784766,0.05407207196028571,0.03215942527542343
Metadata_ldh_normalized,1,0.5060703744556263,0.052018700863101404,0.031608208831999746
Metadata_ldh_normalized,2,0.5502700717034748,0.05090203567850221,0.032352841805515765
Metadata_ldh_normalized,3,0.5794095514952113,0.048537229014168404,0.030815144297850552
Metadata_ldh_normalized,4,0.5162681480147031,0.04845570769628699,0.030612327531064316
Metadata_mtt_normalized,0,0.6320281319943476,0.11910134772398759,0.06904375533992577
Metadata_mtt_normalized,1,0.5588271867208265,0.12496219412286644,0.07215077805484037
Metadata_mtt_normalized,2,0.6220457163526946,0.12061332448319996,0.07181013998354575
Metadata_mtt_normalized,3,0.6290002662892752,0.11960176353207098,0.07106686333185284
Metadata_mtt_normalized,4,0.6105219366127317,0.11837743728016858,0.06957170127838075
