Variable,Split,R²,RMSE,MAE
Metadata_ldh_normalized,0,0.577796115058625,0.04965913632789782,0.030850830678186197
Metadata_ldh_normalized,1,0.45509398248554533,0.05463711583642819,0.03120255891799785
Metadata_ldh_normalized,2,0.5416602433129166,0.05138697125365304,0.03094479144893764
Metadata_ldh_normalized,3,0.6042825064955926,0.0470801568210376,0.030447750604122224
Metadata_ldh_normalized,4,0.48502934307193846,0.0499958366132306,0.029748258663446766
Metadata_mtt_normalized,0,0.6919137359920098,0.10897968168005495,0.06518752697867654
Metadata_mtt_normalized,1,0.6061188084730647,0.11807471139297107,0.06873447249803845
Metadata_mtt_normalized,2,0.6811393688680161,0.1107837604789352,0.06728811210008481
Metadata_mtt_normalized,3,0.6847722461885133,0.11024604239139772,0.06658857120430176
Metadata_mtt_normalized,4,0.6648008754348285,0.109819350470749,0.06583027289443678
