Variable,Split,R²,RMSE,MAE
Metadata_ldh_cc_resid,0,0.36665572416072767,0.04982782982633528,0.03574522062682399
Metadata_ldh_cc_resid,1,0.44225820613539835,0.046681509261020264,0.03397431604076772
Metadata_ldh_cc_resid,2,0.36638232135776505,0.048282166085849655,0.035162084618729016
Metadata_ldh_cc_resid,3,0.38481405080230635,0.047292041235978625,0.0342643682010392
Metadata_ldh_cc_resid,4,0.3581313396542065,0.045116112872721624,0.03376736981687165
Metadata_mtt_cc_resid,0,0.4013659018847623,0.10613353467627953,0.07165145580223281
Metadata_mtt_cc_resid,1,0.4037713171672105,0.11053318264475741,0.07321288399660167
Metadata_mtt_cc_resid,2,0.41220688898788116,0.10552389010275592,0.07158081204602218
Metadata_mtt_cc_resid,3,0.3820976035901398,0.10865186320707802,0.0731649940020991
Metadata_mtt_cc_resid,4,0.40004468492628964,0.10600447025130146,0.07152237478196055
