Variable,Split,R²,RMSE,MAE
Metadata_ldh_cc_resid,0,0.03136782759535639,0.06162139028804121,0.04294189961607205
Metadata_ldh_cc_resid,1,0.028453797793027147,0.06161125047656004,0.041076157841304396
Metadata_ldh_cc_resid,2,0.025504212771774615,0.05987742088668543,0.042063214310318925
Metadata_ldh_cc_resid,3,0.029997380830938725,0.059384254561987086,0.04154826723376527
Metadata_ldh_cc_resid,4,0.0324425861386094,0.05539198917097506,0.039406216971106335
Metadata_mtt_cc_resid,0,0.019444090970601624,0.13583387291685242,0.09385535292545295
Metadata_mtt_cc_resid,1,0.010940877618441092,0.14236307797205208,0.09564662084683392
Metadata_mtt_cc_resid,2,0.017459645539207758,0.13643121454170296,0.09638752646654797
Metadata_mtt_cc_resid,3,0.02173161613111818,0.1367118774367871,0.09515935056322332
Metadata_mtt_cc_resid,4,0.01837830680171504,0.13559285374419147,0.09481144749123402
