Variable,Split,R²,RMSE,MAE
Metadata_ldh_ridge_norm,0,0.6810388444207962,0.07186976278800734,0.04428802333124526
Metadata_ldh_ridge_norm,1,0.6112022783725061,0.07563477986702376,0.04514096714843283
Metadata_ldh_ridge_norm,2,0.6445557009820457,0.07362973207894391,0.04553693492084529
Metadata_ldh_ridge_norm,3,0.6735665347347439,0.07376774023475742,0.045009342895437635
Metadata_ldh_ridge_norm,4,0.6761088008499858,0.06492049163975816,0.04155101657710549
Metadata_mtt_ridge_norm,0,0.7417832295408908,0.0931072082045064,0.04775927727873847
Metadata_mtt_ridge_norm,1,0.6550648997269126,0.10355578782351924,0.051360752265541425
Metadata_mtt_ridge_norm,2,0.7148511792413015,0.09773552885337274,0.0505605808192697
Metadata_mtt_ridge_norm,3,0.7377547139453423,0.09318435217976004,0.047967237874385914
Metadata_mtt_ridge_norm,4,0.7333554588029614,0.09040816901257726,0.0472566635653493
