Variable,Split,R²,RMSE,MAE
Metadata_ldh_normalized,0,0.4455204501748059,0.056908981886533164,0.032828782675389176
Metadata_ldh_normalized,1,0.4500616746262074,0.05488882795533981,0.03185287381782808
Metadata_ldh_normalized,2,0.5035274191492944,0.05348190772566897,0.03219767066425223
Metadata_ldh_normalized,3,0.5597142149885592,0.049660673829886655,0.03095882871906115
Metadata_ldh_normalized,4,0.45656136156906135,0.051359153257845784,0.03081840299656805
Metadata_mtt_normalized,0,0.6171648904781802,0.12148292694227673,0.07017178926303962
Metadata_mtt_normalized,1,0.5421602000165796,0.12730077358207897,0.07328060165725878
Metadata_mtt_normalized,2,0.6023572809064448,0.12371494592118286,0.07316784058329887
Metadata_mtt_normalized,3,0.6202516928302506,0.12100371602728552,0.07192247139515613
Metadata_mtt_normalized,4,0.5887342747892375,0.12164343948571073,0.0703499338515944
