Variable,Split,R²,RMSE,MAE
Metadata_ldh_cc_resid,0,0.08494945038290824,0.059892796398093535,0.042010870210299825
Metadata_ldh_cc_resid,1,0.08286679090324178,0.059861073919047866,0.04050429485904044
Metadata_ldh_cc_resid,2,0.09055893861184694,0.05784427498033773,0.04116084420186161
Metadata_ldh_cc_resid,3,0.09315894794407498,0.05741831477449351,0.04060564253244991
Metadata_ldh_cc_resid,4,0.09827582416104685,0.05347434153870474,0.03822843953093712
Metadata_mtt_cc_resid,0,0.16919994839585417,0.1250317069806849,0.0869415218285319
Metadata_mtt_cc_resid,1,0.13815135270148582,0.13289288962417323,0.0901144799829579
Metadata_mtt_cc_resid,2,0.16293546726235109,0.1259267565300153,0.09027508332882017
Metadata_mtt_cc_resid,3,0.15315341615920508,0.12719780249332946,0.08857874892473849
Metadata_mtt_cc_resid,4,0.15487450133569225,0.12581294549674316,0.08940926365736246
