Variable,Split,R²,RMSE,MAE
Metadata_ldh_cc_resid,0,0.38993864310297377,0.04890337201182184,0.03248796168845048
Metadata_ldh_cc_resid,1,0.38696382032013876,0.0489408319015414,0.0318202019296068
Metadata_ldh_cc_resid,2,0.39119267917765976,0.04732744240870924,0.031781317534038234
Metadata_ldh_cc_resid,3,0.37469701045898196,0.04767932608092044,0.031997103221395796
Metadata_ldh_cc_resid,4,0.38421947155622593,0.044189752053383095,0.030882091920514703
Metadata_mtt_cc_resid,0,0.3727374994299075,0.1086417031867333,0.06562587106929346
Metadata_mtt_cc_resid,1,0.3191150495967139,0.11811991076611977,0.06934479318421133
Metadata_mtt_cc_resid,2,0.3612994962356282,0.1099986047280165,0.06812938709283174
Metadata_mtt_cc_resid,3,0.38764926946487577,0.10816265985112777,0.0669255324873764
Metadata_mtt_cc_resid,4,0.38429228234058066,0.10738707817880908,0.06637345729493432
