Variable,Split,R²,RMSE,MAE
Metadata_ldh_normalized,0,0.6116367813933974,0.04762014825381428,0.030956738644877607
Metadata_ldh_normalized,1,0.4898696572725184,0.05286491546544222,0.030786023469099685
Metadata_ldh_normalized,2,0.5592680155754302,0.050390132276109244,0.031103957626417163
Metadata_ldh_normalized,3,0.6678923624785287,0.04313036988665181,0.029409639082181416
Metadata_ldh_normalized,4,0.508846790787645,0.04882594563665501,0.029996177085986
Metadata_mtt_normalized,0,0.7571995095166522,0.09673272516525509,0.0607322606600756
Metadata_mtt_normalized,1,0.7063125876824246,0.10195697401662242,0.06329170383932461
Metadata_mtt_normalized,2,0.7380921565365814,0.10040638160023696,0.06285230707663135
Metadata_mtt_normalized,3,0.7227682466107017,0.10339796340222808,0.06342215421119195
Metadata_mtt_normalized,4,0.7476193299348061,0.09528925699613176,0.059936246417480965
