Variable,Split,R²,RMSE,MAE
Metadata_ldh_normalized,0,0.7243454613190201,0.05660004708552041,0.03477429829160907
Metadata_ldh_normalized,1,0.6865548092636287,0.0575516725969469,0.035548164246246926
Metadata_ldh_normalized,2,0.7145552016250962,0.05498889536655185,0.034217185977068736
Metadata_ldh_normalized,3,0.7749921033219331,0.049021346627127704,0.033164857420672295
Metadata_ldh_normalized,4,0.7502177538378016,0.04956007817430181,0.03301903380476501
Metadata_mtt_normalized,0,0.7275062681553408,0.10937607710743812,0.06662421136084981
Metadata_mtt_normalized,1,0.6551150375863382,0.12000158252480149,0.07109165479597011
Metadata_mtt_normalized,2,0.7131410554379881,0.11266968960841799,0.06975537841394323
Metadata_mtt_normalized,3,0.727036027259348,0.10980985767457407,0.06793873309036627
Metadata_mtt_normalized,4,0.7180203010138213,0.10859125554857975,0.06712348282519053
