Variable,Split,R²,RMSE,MAE
Metadata_ldh_normalized,0,0.6658913323103819,0.06231291814699001,0.03908224794514952
Metadata_ldh_normalized,1,0.6237543972411158,0.0630540317282146,0.039280263312768855
Metadata_ldh_normalized,2,0.6754384618250253,0.05863574606079772,0.038175984289273095
Metadata_ldh_normalized,3,0.7186509655673112,0.05481621841859802,0.03704720931256501
Metadata_ldh_normalized,4,0.6652912581096071,0.05736998377949498,0.03715038986228394
Metadata_mtt_normalized,0,0.6433905023225661,0.1251239763119984,0.07609719922569903
Metadata_mtt_normalized,1,0.568615603980225,0.13420912962249462,0.08179677881076175
Metadata_mtt_normalized,2,0.6249940924258738,0.12882256864213817,0.07966678048759372
Metadata_mtt_normalized,3,0.6385261900102415,0.12636508150891052,0.07896804258202782
Metadata_mtt_normalized,4,0.6110460912127844,0.1275366494645709,0.07799353490498794
