Variable,Split,R²,RMSE,MAE
Metadata_ldh_normalized,0,0.32705323823252863,0.08843507989395462,0.06501265005429743
Metadata_ldh_normalized,1,0.24738214025038097,0.08917937091944968,0.06397951957140942
Metadata_ldh_normalized,2,0.29979468381112084,0.08612448356814578,0.06346045115825899
Metadata_ldh_normalized,3,0.3605987943429484,0.0826367222347367,0.062143146979464645
Metadata_ldh_normalized,4,0.2386695690608237,0.08652424014522345,0.06348592523368118
Metadata_mtt_normalized,0,0.6086804875657349,0.1310719728724719,0.09195185400233942
Metadata_mtt_normalized,1,0.522943597628508,0.14113499373822438,0.09555371590768393
Metadata_mtt_normalized,2,0.5976709729641339,0.13343310225509977,0.09425321044830302
Metadata_mtt_normalized,3,0.5960440078687927,0.1335843836048969,0.09253581805764396
Metadata_mtt_normalized,4,0.5753769284140284,0.13325629280557819,0.09362543550399065
