Variable,Split,R²,RMSE,MAE
Metadata_ldh_normalized,0,0.7231334988264904,0.0567243365312925,0.03484378972840487
Metadata_ldh_normalized,1,0.6859969474057892,0.05760286433849026,0.035556093928013975
Metadata_ldh_normalized,2,0.7140535905710641,0.05503719004675937,0.034271854594283314
Metadata_ldh_normalized,3,0.7746920153493516,0.04905402506901733,0.033193584854971335
Metadata_ldh_normalized,4,0.7494627682541779,0.04963492119004279,0.033074933531784
Metadata_mtt_normalized,0,0.7275752667927774,0.1093622285722209,0.06661975467599998
Metadata_mtt_normalized,1,0.6547401715826111,0.12006678150628985,0.07108553838574302
Metadata_mtt_normalized,2,0.7138918849234488,0.11252214121430956,0.06969347129060222
Metadata_mtt_normalized,3,0.726436367425331,0.10993040918041429,0.06795448173402543
Metadata_mtt_normalized,4,0.7177843786178857,0.10863667327345441,0.06714495472448742
