,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,Unnamed: 0,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
10,[O-][N+](=O)C1=CC=C(CBr)C=C1,O=[N+]([O-])c1ccc(CBr)cc1,"InChI=1S/C7H6BrNO2/c8-5-6-1-3-7(4-2-6)9(10)11/h1-4H,5H2",VOLRSQPSJGXRNJ-UHFFFAOYSA-N,27485,DTXSID7049392,DSSTox_Substance_Id,DTXSID7049392,4-Nitrobenzylbromide
11,NC(=S)C(N)=S,NC(=S)C(N)=S,"InChI=1S/C2H4N2S2/c3-1(5)2(4)6/h(H2,3,5)(H2,4,6)",OAEGRYMCJYIXQT-UHFFFAOYSA-N,27486,DTXSID3020546,DSSTox_Substance_Id,DTXSID3020546,Dithiooxamide
12,CC(=O)OCCOC(C)=O,CC(=O)OCCOC(C)=O,"InChI=1S/C6H10O4/c1-5(7)9-3-4-10-6(2)8/h3-4H2,1-2H3",JTXMVXSTHSMVQF-UHFFFAOYSA-N,27487,DTXSID0026880,DSSTox_Substance_Id,DTXSID0026880,"1,2-Ethanediol diacetate"
13,CCOC(=O)C1(CC2=CC=CC=C2C#N)CCCCC1=O,CCOC(=O)C1(Cc2ccccc2C#N)CCCCC1=O,"InChI=1S/C17H19NO3/c1-2-21-16(20)17(10-6-5-9-15(17)19)11-13-7-3-4-8-14(13)12-18/h3-4,7-8H,2,5-6,9-11H2,1H3",ZGWOTCZGVPAFCC-UHFFFAOYSA-N,27488,DTXSID70281581,DSSTox_Substance_Id,DTXSID70281581,MLS002638837
14,NCCCOCCOCCOCCCN,NCCCOCCOCCOCCCN,InChI=1S/C10H24N2O3/c11-3-1-5-13-7-9-15-10-8-14-6-2-4-12/h1-12H2,JCEZOHLWDIONSP-UHFFFAOYSA-N,27489,DTXSID6044565,DSSTox_Substance_Id,DTXSID6044565,"3,3'-[Oxybis(ethane-2,1-diyloxy)]dipropan-1-amine"
15,CCOC(=O)C(C)C(C)=O,CCOC(=O)C(C)C(C)=O,"InChI=1S/C7H12O3/c1-4-10-7(9)5(2)6(3)8/h5H,4H2,1-3H3",FNENWZWNOPCZGK-UHFFFAOYSA-N,27490,DTXSID2033493,DSSTox_Substance_Id,DTXSID2033493,Ethyl-2-methyl acetoacetate
16,OC(=O)C1(CCC(=O)NCC2=CC=CC=C2)CCC(=O)NC1,O=C(CCC1(C(=O)O)CCC(=O)NC1)NCc1ccccc1,"InChI=1S/C16H20N2O4/c19-13(17-10-12-4-2-1-3-5-12)6-8-16(15(21)22)9-7-14(20)18-11-16/h1-5H,6-11H2,(H,17,19)(H,18,20)(H,21,22)",KFUNZJUZXYJCRY-UHFFFAOYSA-N,27491,DTXSID70349579,DSSTox_Substance_Id,DTXSID70349579,3-[3-(Benzylamino)-3-oxopropyl]-6-oxopiperidine-3-carboxylic acid
17,O=C(CSC1=NC2=CC=CC=C2C=C1)C1=CC=CC=C1,O=C(CSc1ccc2ccccc2n1)c1ccccc1,"InChI=1S/C17H13NOS/c19-16(14-7-2-1-3-8-14)12-20-17-11-10-13-6-4-5-9-15(13)18-17/h1-11H,12H2",DIPYPJQXQZAPRZ-UHFFFAOYSA-N,27492,DTXSID30294950,DSSTox_Substance_Id,DTXSID30294950,"ethanone, 1-phenyl-2-(2-quinolinylthio)-"
18,COC1=CC=C(C=C2CC3=CC=CC=C3C2=O)C=C1,COc1ccc(C=C2Cc3ccccc3C2=O)cc1,"InChI=1S/C17H14O2/c1-19-15-8-6-12(7-9-15)10-14-11-13-4-2-3-5-16(13)17(14)18/h2-10H,11H2,1H3",VBOMEZWDBOXOKE-UHFFFAOYSA-N,27493,DTXSID60327184,DSSTox_Substance_Id,DTXSID60327184,2-(4-methoxybenzylidene)indan-1-one
19,CCCC(=O)C1=C(C)C2=CC=CC=C2N1C,CCCC(=O)c1c(C)c2ccccc2n1C,"InChI=1S/C14H17NO/c1-4-7-13(16)14-10(2)11-8-5-6-9-12(11)15(14)3/h5-6,8-9H,4,7H2,1-3H3",YZMGXJDSFNZAGK-UHFFFAOYSA-N,27494,DTXSID90358027,DSSTox_Substance_Id,DTXSID90358027,"1-(1,3-Dimethyl-1H-indol-2-yl)butan-1-one"
20,O=C1CCN(CC2=CC=CC=C2)C(=O)N1C1=CC=CC=C1,O=C1CCN(Cc2ccccc2)C(=O)N1c1ccccc1,"InChI=1S/C17H16N2O2/c20-16-11-12-18(13-14-7-3-1-4-8-14)17(21)19(16)15-9-5-2-6-10-15/h1-10H,11-13H2",JUUNERSMSBAWFF-UHFFFAOYSA-N,27495,DTXSID70292152,DSSTox_Substance_Id,DTXSID70292152,"1-benzyl-3-phenyldihydro-2,4(1H,3H)-pyrimidinedione"
21,OC(COC1=CC=CC=C1)CN1CCN(CC1)C1=CC=C(C=C1)[N+]([O-])=O,O=[N+]([O-])c1ccc(N2CCN(CC(O)COc3ccccc3)CC2)cc1,"InChI=1S/C19H23N3O4/c23-18(15-26-19-4-2-1-3-5-19)14-20-10-12-21(13-11-20)16-6-8-17(9-7-16)22(24)25/h1-9,18,23H,10-15H2",JPJOVOODFZGOBN-UHFFFAOYSA-N,27496,DTXSID50385692,DSSTox_Substance_Id,DTXSID50385692,1-[4-(4-nitrophenyl)piperazin-1-yl]-3-phenoxypropan-2-ol
22,[Cl-].C[N+]1(C)CCCCC1,C[N+]1(C)CCCCC1,"InChI=1S/C7H16N/c1-8(2)6-4-3-5-7-8/h3-7H2,1-2H3/q+1",NNCAWEWCFVZOGF-UHFFFAOYSA-N,27497,DTXSID1024170,DSSTox_Substance_Id,DTXSID1024170,"1,1-Dimethylpiperidinium chloride"
23,C1=CC=C(C=C1)C1=CN=C(N=N1)C1=CC=CC=C1,c1ccc(-c2cnc(-c3ccccc3)nn2)cc1,InChI=1S/C15H11N3/c1-3-7-12(8-4-1)14-11-16-15(18-17-14)13-9-5-2-6-10-13/h1-11H,LRGATPZENUYRBP-UHFFFAOYSA-N,27498,DTXSID10425063,DSSTox_Substance_Id,DTXSID10425063,"3,6-diphenyl-1,2,4-triazine"
24,COCC(C)OC(C)=O,COCC(C)OC(C)=O,"InChI=1S/C6H12O3/c1-5(4-8-3)9-6(2)7/h5H,4H2,1-3H3",LLHKCFNBLRBOGN-UHFFFAOYSA-N,27499,DTXSID1026796,DSSTox_Substance_Id,DTXSID1026796,1-Methoxy-2-propyl acetate
