,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,Unnamed: 0,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
0,CCOC(=O)C(C1=C(O)C2=C(OC1=O)C=CC=C2)C1=C(O)C2=C(OC1=O)C=CC=C2,CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,"InChI=1S/C22H16O8/c1-2-28-20(25)15(16-18(23)11-7-3-5-9-13(11)29-21(16)26)17-19(24)12-8-4-6-10-14(12)30-22(17)27/h3-10,15,23-24H,2H2,1H3",JCLHQFUTFHUXNN-UHFFFAOYSA-N,27475,DTXSID3057771,DSSTox_Substance_Id,DTXSID3057771,Ethyl biscoumacetate
1,ClC1=CC=C(OCC2CNC(=O)O2)C=C1,O=C1NCC(COc2ccc(Cl)cc2)O1,"InChI=1S/C10H10ClNO3/c11-7-1-3-8(4-2-7)14-6-9-5-12-10(13)15-9/h1-4,9H,5-6H2,(H,12,13)",IKRAQGBWVLSVKL-UHFFFAOYSA-N,27476,DTXSID40316995,DSSTox_Substance_Id,DTXSID40316995,"5-[(4-Chlorophenoxy)methyl]-1,3-oxazolidin-2-one"
2,F[B-](F)(F)F.CC[N+]1(C)CCCC1,CC[N+]1(C)CCCC1,"InChI=1S/C7H16N/c1-3-8(2)6-4-5-7-8/h3-7H2,1-2H3/q+1",NIHOUJYFWMURBG-UHFFFAOYSA-N,27477,DTXSID8049206,DSSTox_Substance_Id,DTXSID8049206,1-Ethyl-1-methylpyrrolidinium tetrafluoroborate
3,CCCCOCNC(=O)C=C,C=CC(=O)NCOCCCC,"InChI=1S/C8H15NO2/c1-3-5-6-11-7-9-8(10)4-2/h4H,2-3,5-7H2,1H3,(H,9,10)",UTSYWKJYFPPRAP-UHFFFAOYSA-N,27478,DTXSID9027443,DSSTox_Substance_Id,DTXSID9027443,N-(Butoxymethyl)acrylamide
4,ClC1=C(Cl)C=C(CSC2=CN=NC3=CC=CC=C23)C=C1,Clc1ccc(CSc2cnnc3ccccc23)cc1Cl,"InChI=1S/C15H10Cl2N2S/c16-12-6-5-10(7-13(12)17)9-20-15-8-18-19-14-4-2-1-3-11(14)15/h1-8H,9H2",WIMXWOZSJQVNOZ-UHFFFAOYSA-N,27479,DTXSID50289621,DSSTox_Substance_Id,DTXSID50289621,"4-[(3,4-dichlorobenzyl)sulfanyl]cinnoline"
5,NC1=NN=C(CC2=CC=CC=C2F)S1,N=c1[nH]nc(Cc2ccccc2F)s1,"InChI=1S/C9H8FN3S/c10-7-4-2-1-3-6(7)5-8-12-13-9(11)14-8/h1-4H,5H2,(H2,11,13)",KMYBNTVFQUSIQM-UHFFFAOYSA-N,27480,DTXSID90353436,DSSTox_Substance_Id,DTXSID90353436,"5-(2-fluorobenzyl)[1,3,4]thiadiazol-2-ylamine"
6,CCOC(=O)N1CCC2=CC(OC)=C(OC)C3=C4C=C(OC)C(OC)=CC4=CC1=C23,CCOC(=O)N1CCc2cc(OC)c(OC)c3c2c1cc1cc(OC)c(OC)cc13,"InChI=1S/C23H25NO6/c1-6-30-23(25)24-8-7-13-10-19(28-4)22(29-5)21-15-12-18(27-3)17(26-2)11-14(15)9-16(24)20(13)21/h9-12H,6-8H2,1-5H3",UBNQMQAKEHACQS-UHFFFAOYSA-N,27481,DTXSID20227176,DSSTox_Substance_Id,DTXSID20227176,"Ethyl 1,2,9,10-tetramethoxy-4,5-dihydro-6H-dibenzo(de,g)quinoline-6-carboxylate"
7,CC(C)(C)C1=CC=C(C=C1)C(=O)NCCN1CCOCC1,CC(C)(C)c1ccc(C(=O)NCCN2CCOCC2)cc1,"InChI=1S/C17H26N2O2/c1-17(2,3)15-6-4-14(5-7-15)16(20)18-8-9-19-10-12-21-13-11-19/h4-7H,8-13H2,1-3H3,(H,18,20)",INFBBMJKSJJOQW-UHFFFAOYSA-N,27482,DTXSID10214813,DSSTox_Substance_Id,DTXSID10214813,"Benzamide, 4-(1,1-dimethylethyl)-N-(2-(4-morpholinyl)ethyl)-"
8,[O-][N+](=O)C1=CC=C(OCC(=O)NC2=CN=CC=C2)C=C1,O=C(COc1ccc([N+](=O)[O-])cc1)Nc1cccnc1,"InChI=1S/C13H11N3O4/c17-13(15-10-2-1-7-14-8-10)9-20-12-5-3-11(4-6-12)16(18)19/h1-8H,9H2,(H,15,17)",ZTYZUHJJPSWCKL-UHFFFAOYSA-N,27483,DTXSID50303770,DSSTox_Substance_Id,DTXSID50303770,ST051634
9,CC1=CC(=C(C=C1)N=NC1=C2C=CC=CC2=CC=C1O)[N+]([O-])=O,Cc1ccc(N=Nc2c(O)ccc3ccccc23)c([N+](=O)[O-])c1,"InChI=1S/C17H13N3O3/c1-11-6-8-14(15(10-11)20(22)23)18-19-17-13-5-3-2-4-12(13)7-9-16(17)21/h2-10,21H,1H3",ZLFVRXUOSPRRKQ-UHFFFAOYSA-N,27484,DTXSID8021226,DSSTox_Substance_Id,DTXSID8021226,C.I. Pigment Red 3
