,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
48,IC1=CC=C(NC(=O)N(CC2=CC=CC=C2)CC2=CC=CC=C2)C=C1,O=C(Nc1ccc(I)cc1)N(Cc1ccccc1)Cc1ccccc1,"InChI=1S/C21H19IN2O/c22-19-11-13-20(14-12-19)23-21(25)24(15-17-7-3-1-4-8-17)16-18-9-5-2-6-10-18/h1-14H,15-16H2,(H,23,25)",MIWUOXSDNYRMJC-UHFFFAOYSA-N,DTXSID40608165,DSSTox_Substance_Id,DTXSID40608165,"N,N-Dibenzyl-N'-(4-iodophenyl)urea"
49,CC1=C(NC(=O)N(CC2=CC=CC=C2)CC2=CC=CC=C2)C=CC=C1Cl,Cc1c(Cl)cccc1NC(=O)N(Cc1ccccc1)Cc1ccccc1,"InChI=1S/C22H21ClN2O/c1-17-20(23)13-8-14-21(17)24-22(26)25(15-18-9-4-2-5-10-18)16-19-11-6-3-7-12-19/h2-14H,15-16H2,1H3,(H,24,26)",ZCXXQJWBFZKNCZ-UHFFFAOYSA-N,DTXSID20608168,DSSTox_Substance_Id,DTXSID20608168,"N,N-Dibenzyl-N'-(3-chloro-2-methylphenyl)urea"
50,CCCCN(CCCC)C(=O)NC1=C(C)C=C(Cl)C=C1,CCCCN(CCCC)C(=O)Nc1ccc(Cl)cc1C,"InChI=1S/C16H25ClN2O/c1-4-6-10-19(11-7-5-2)16(20)18-15-9-8-14(17)12-13(15)3/h8-9,12H,4-7,10-11H2,1-3H3,(H,18,20)",VWNILTMMJQSIIE-UHFFFAOYSA-N,DTXSID90402195,DSSTox_Substance_Id,DTXSID90402195,"Urea, N,N-dibutyl-N'-(4-chloro-2-methylphenyl)-"
51,CC(C)CCN(CCC(C)C)C(=O)NC1=C(C)C=C(C)C=C1,Cc1ccc(NC(=O)N(CCC(C)C)CCC(C)C)c(C)c1,"InChI=1S/C19H32N2O/c1-14(2)9-11-21(12-10-15(3)4)19(22)20-18-8-7-16(5)13-17(18)6/h7-8,13-15H,9-12H2,1-6H3,(H,20,22)",NXJFRQPOEPJJDC-UHFFFAOYSA-N,DTXSID90608135,DSSTox_Substance_Id,DTXSID90608135,"N'-(2,4-Dimethylphenyl)-N,N-bis(3-methylbutyl)urea"
52,CCCCN(CCCCC1CCCCC1)C(=O)NC1=C(C)C=C(C)C=C1,CCCCN(CCCCC1CCCCC1)C(=O)Nc1ccc(C)cc1C,"InChI=1S/C23H38N2O/c1-4-5-16-25(17-10-9-13-21-11-7-6-8-12-21)23(26)24-22-15-14-19(2)18-20(22)3/h14-15,18,21H,4-13,16-17H2,1-3H3,(H,24,26)",UVUVZVGVIABZQO-UHFFFAOYSA-N,DTXSID80568870,DSSTox_Substance_Id,DTXSID80568870,"N-Butyl-N-(4-cyclohexylbutyl)-N'-(2,4-dimethylphenyl)urea"
53,CCCCN(CCCC)C(=O)NC1=CC=C(C=C1)C(C)C,CCCCN(CCCC)C(=O)Nc1ccc(C(C)C)cc1,"InChI=1S/C18H30N2O/c1-5-7-13-20(14-8-6-2)18(21)19-17-11-9-16(10-12-17)15(3)4/h9-12,15H,5-8,13-14H2,1-4H3,(H,19,21)",ALSBFRUBAAFKOV-UHFFFAOYSA-N,DTXSID50409266,DSSTox_Substance_Id,DTXSID50409266,"Urea, N,N-dibutyl-N'-[4-(1-methylethyl)phenyl]-"
54,ClC1=CC(Cl)=C(NC(=O)N(CC2=CC=CC=C2)CC2=CC=CC=C2)C=C1,O=C(Nc1ccc(Cl)cc1Cl)N(Cc1ccccc1)Cc1ccccc1,"InChI=1S/C21H18Cl2N2O/c22-18-11-12-20(19(23)13-18)24-21(26)25(14-16-7-3-1-4-8-16)15-17-9-5-2-6-10-17/h1-13H,14-15H2,(H,24,26)",ITJZEPDILNRMBR-UHFFFAOYSA-N,DTXSID90409169,DSSTox_Substance_Id,DTXSID90409169,"1,1-dibenzyl-3-(2,4-dichlorophenyl)urea"
55,CCCCN(CC1=CC=CC=C1)C(=O)NC1=C(OC)C=CC(Cl)=C1,CCCCN(Cc1ccccc1)C(=O)Nc1cc(Cl)ccc1OC,"InChI=1S/C19H23ClN2O2/c1-3-4-12-22(14-15-8-6-5-7-9-15)19(23)21-17-13-16(20)10-11-18(17)24-2/h5-11,13H,3-4,12,14H2,1-2H3,(H,21,23)",USEVEOOSQPJQBZ-UHFFFAOYSA-N,DTXSID80547887,DSSTox_Substance_Id,DTXSID80547887,N-Benzyl-N-butyl-N'-(5-chloro-2-methoxyphenyl)urea
56,CCCCN(CC1=CC=CC=C1)C(=O)NC1=C(C)C=C(C)C=C1,CCCCN(Cc1ccccc1)C(=O)Nc1ccc(C)cc1C,"InChI=1S/C20H26N2O/c1-4-5-13-22(15-18-9-7-6-8-10-18)20(23)21-19-12-11-16(2)14-17(19)3/h6-12,14H,4-5,13,15H2,1-3H3,(H,21,23)",CQCRPHVZWXLSLZ-UHFFFAOYSA-N,DTXSID70547871,DSSTox_Substance_Id,DTXSID70547871,"N-Benzyl-N-butyl-N'-(2,4-dimethylphenyl)urea"
57,FC(F)(F)C1=C(Cl)C=CC(NC(=O)N(CC2=CC=CC=C2)CC2=CC=CC=C2)=C1,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)N(Cc1ccccc1)Cc1ccccc1,"InChI=1S/C22H18ClF3N2O/c23-20-12-11-18(13-19(20)22(24,25)26)27-21(29)28(14-16-7-3-1-4-8-16)15-17-9-5-2-6-10-17/h1-13H,14-15H2,(H,27,29)",GCNBDXBHXVRVPB-UHFFFAOYSA-N,DTXSID30608159,DSSTox_Substance_Id,DTXSID30608159,"N,N-Dibenzyl-N'-[4-chloro-3-(trifluoromethyl)phenyl]urea"
