OASIS_ID,Compound_name,Assay_Endpoint,POD_um,POD_um_l,POD_um_u,Bioactivity_POD
OASIS1758,Omadacycline,Cytoplasm_AreaShape,64.79564301016971,62.93256552963925,66.6047532787402,false
OASIS1758,Omadacycline,Cytoplasm_Mito,51.11830318625306,47.3338049357559,54.89482638998469,true
OASIS557,Fluazinam,Cells_AGP,4.660165358962085,4.1872629754911594,5.104731629929466,false
OASIS557,Fluazinam,Cells_AreaShape,15.771461361105958,15.573827640222962,15.959585025819047,false
OASIS557,Fluazinam,Cells_DNA,0.1485629641146768,0.13588077722507838,0.16319852342874916,false
OASIS557,Fluazinam,Cells_ER,1.4339338511407733,1.2293860108262,1.6678784575543804,false
OASIS557,Fluazinam,Cells_Mito,6.69115977974639,5.812939562172962,7.467657125827663,false
OASIS557,Fluazinam,Cells_RNA,15.457224120214951,15.232957866262353,15.665892575891405,false
OASIS557,Fluazinam,Cytoplasm_AGP,0.10962237932337676,0.09853299074078363,0.12266408419001598,true
OASIS557,Fluazinam,Cytoplasm_AreaShape,2.3445513164848593,2.2258424369423935,2.4620492644209997,false
OASIS557,Fluazinam,Cytoplasm_DNA,1.728060374926029,1.679238113217229,1.7777117736325323,false
OASIS557,Fluazinam,Cytoplasm_Mito,6.522203911589031,6.059911593201215,6.964718338995295,false
OASIS557,Fluazinam,Nuclei_AGP,1.846354801628291,1.799690724329804,1.89372865656826,false
OASIS557,Fluazinam,Nuclei_AreaShape,13.85001764948839,13.671436017085188,14.028340761810682,false
OASIS557,Fluazinam,Nuclei_DNA,0.11106375522863478,0.10733549882755186,0.1150020453829658,false
OASIS557,Fluazinam,Nuclei_ER,0.8320375870355858,0.8023954655850966,0.8622467218657158,false
OASIS557,Fluazinam,Nuclei_Mito,17.694277849497468,17.26892713351583,18.12011133276341,false
,Compound_21e939ce,Cells_AGP,1.2856130752603627,1.1194455677725503,1.4689590802465897,false
,Compound_21e939ce,Cells_AreaShape,1.6665508778939813,1.480113628494871,1.8699474621709118,false
,Compound_21e939ce,Cells_DNA,0.20387822629975197,0.17082714312012448,0.23950247150911524,true
,Compound_21e939ce,Cells_ER,0.21222146592431693,0.17572260638241285,0.2521340204886521,false
,Compound_21e939ce,Cells_Mito,0.24590845538360626,0.2078270271824096,0.2871028429537551,false
,Compound_21e939ce,Cells_RNA,0.28566619386173275,0.15134116298435005,0.5858126804149834,false
,Compound_21e939ce,Cytoplasm_AGP,0.8312932923437995,0.6878774501812585,0.9943768353978703,false
,Compound_21e939ce,Cytoplasm_AreaShape,2.271511602935969,1.971942759783308,2.6041482899946615,false
,Compound_21e939ce,Cytoplasm_DNA,0.3337981501748708,0.28568930545236826,0.3860537672078414,false
,Compound_21e939ce,Cytoplasm_ER,12.510981389143952,12.220004852551387,12.810168385296244,false
,Compound_21e939ce,Cytoplasm_Mito,0.38867239724520114,0.3346051995925137,0.4476817444881894,false
,Compound_21e939ce,Cytoplasm_RNA,3.227506436796571,1.1180477397329223,11.717891370451966,false
,Compound_21e939ce,gmd,0.4284542465377003,0.38082125115744997,0.4793331425595052,false
,Compound_21e939ce,Nuclei_AGP,0.28803549016925656,0.23967318428218698,0.3407545118787668,false
,Compound_21e939ce,Nuclei_AreaShape,1.1793507554075577,1.0826125923809367,1.2821108328217568,false
,Compound_21e939ce,Nuclei_DNA,0.42798593859822515,0.37798132621308883,0.48215682488983375,false
,Compound_21e939ce,Nuclei_ER,0.8765155360355184,0.7410422657297537,1.0289129955740228,false
,Compound_21e939ce,Nuclei_Mito,0.2769176172437798,0.2307675939613787,0.32745108143366697,false
,Compound_21e939ce,Nuclei_RNA,0.6036583652255437,0.5343770030849767,0.6787541275590588,false
OASIS1912,Vortioxetine,Cells_AGP,13.81493405147826,13.590805321000296,14.02768301943386,false
OASIS1912,Vortioxetine,Cells_AreaShape,1.2428552294649227,1.2149538637138808,1.2711245615912548,false
OASIS1912,Vortioxetine,Cells_DNA,0.5506336965969365,0.4444111031851868,0.6824633744832316,false
OASIS1912,Vortioxetine,Cells_ER,17.84441418744937,17.318713493351442,18.369838028758966,false
OASIS1912,Vortioxetine,Cells_Mito,14.702636244246795,14.23101886641859,15.180115748364814,false
OASIS1912,Vortioxetine,Cells_RNA,11.884661439209776,11.768324623210253,12.000911394219617,false
OASIS1912,Vortioxetine,Cytoplasm_AGP,12.611210247802493,12.4791446382806,12.735610284220604,false
OASIS1912,Vortioxetine,Cytoplasm_AreaShape,12.327005777112065,12.107567721970463,12.546005548206924,false
OASIS1912,Vortioxetine,Cytoplasm_DNA,11.793977176470348,11.46502789553946,12.095880812860624,false
OASIS1912,Vortioxetine,Cytoplasm_ER,1.040086222461489,1.015935386421898,1.06454898777567,false
OASIS1912,Vortioxetine,Cytoplasm_Mito,12.412073624451788,11.98536568348947,12.847973392286647,false
OASIS1912,Vortioxetine,Cytoplasm_RNA,1.1808196810405904,1.1589943694689966,1.2028742170648963,false
OASIS1912,Vortioxetine,Nuclei_AGP,12.410678790232533,12.132352859593222,12.652409482154392,false
OASIS1912,Vortioxetine,Nuclei_AreaShape,12.706380071577337,12.566574518120206,12.846486791123661,false
OASIS1912,Vortioxetine,Nuclei_DNA,1.1338486577150686,1.117419291571097,1.1504101744939905,false
OASIS1912,Vortioxetine,Nuclei_ER,0.5323595317648413,0.5066637326229395,0.5586517723650003,true
OASIS1912,Vortioxetine,Nuclei_Mito,1.7720604782937481,1.6919681518295595,1.8544243864048806,false
OASIS1912,Vortioxetine,Nuclei_RNA,1.1185319208355013,1.095871665715277,1.141451017582409,false
