ensmbl_gene_name,Du_PHH_1,Du_PHH_2,Fu_PHH_1,Fu_PHH_2,Kim_PHH_1,Kim_PHH_2,Koui_PHH_1,Koui_PHH_2,Xiang_PHH_1,Xiang_PHH_2,Xie_PHH_1,Xie_PHH_2,Xie_PHH_3,Schneeberger_PHH_1,Schneeberger_PHH_2,Gao_PHH,Boon_PHH_1,Boon_PHH_2,Wang_PHH_1,Wang_PHH_2
ENSG00000108091.11,272,346,344,364,203,262,645,337,305,113,199,303,278,84,39,203,174,132,320,254
ENSG00000235931.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000151150.22,147,60,35,79,2,4,10,21,21,18,16,22,28,6,9,6,101,9,90,18
ENSG00000232682.2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000202190.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282121.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000122872.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254271.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000170312.16,9,5,5,5,0,0,7,1,12,3,24,6,24,0,0,9,44,9,14,3
ENSG00000072422.17,148,59,74,32,10,58,131,15,105,18,22,69,112,7,6,10,188,120,69,59
ENSG00000223107.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000227244.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000196932.12,47,29,51,41,0,8,0,0,99,14,4,48,29,0,1,1,7,7,46,9
ENSG00000237233.2,3,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000288052.1,0,0,2,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0
ENSG00000183346.7,4,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ENSG00000272592.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000233643.2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000150347.16,121,66,119,211,60,71,236,148,202,36,99,102,106,27,16,113,46,52,295,56
ENSG00000182010.11,2,0,0,0,0,0,2,0,0,0,1,2,4,0,0,1,1,3,4,0
ENSG00000234756.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000288011.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240940.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000138311.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285837.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285551.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000238280.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234489.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000181915.5,164,75,105,155,60,84,161,72,90,70,149,102,146,12,10,62,48,49,87,37
ENSG00000122877.16,4,80,128,512,152,220,1,6,268,35,109,32,78,5,23,80,2,34,39,8
ENSG00000199446.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224301.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000148572.16,347,363,420,352,522,451,339,172,474,177,271,566,299,47,30,501,314,336,90,148
ENSG00000171988.19,487,1282,2346,2723,290,415,1988,2147,541,299,911,386,1080,238,211,458,486,498,1355,986
ENSG00000234369.1,0,0,0,0,0,4,1,0,0,0,0,2,1,1,0,0,1,1,0,1
ENSG00000270421.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000221063.3,0,0,0,0,1,0,1,2,0,3,0,0,0,0,0,0,0,0,8,0
ENSG00000235816.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000272767.1,5,2,2,1,1,2,0,1,0,1,1,0,2,0,0,2,0,0,0,0
ENSG00000224412.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165476.14,509,511,678,727,306,259,900,650,340,147,471,467,460,89,81,322,297,265,197,298
ENSG00000286373.1,22,15,14,18,9,4,7,6,2,0,2,4,5,0,0,2,2,3,4,1
ENSG00000232075.1,3,2,4,3,0,0,0,0,0,3,1,1,2,0,0,2,0,0,0,0
